,open,close,high,low,vol
2014-09-26,2009.08,1982.85,2009.08,1965.99,2406368865.0
2014-10-03,1978.96,1967.9,1985.17,1926.03,2655217296.0
2014-10-10,1970.01,1906.13,1977.84,1906.05,2925383603.0
2014-10-17,1905.65,1886.76,1912.09,1820.66,3886472561.0
2014-10-24,1885.62,1964.58,1965.27,1882.3,2775000310.0
2014-10-31,1962.97,2018.05,2018.19,1951.37,2741762757.0
2014-11-07,2018.21,2031.92,2034.26,2001.01,2535179244.0
2014-11-14,2032.01,2039.82,2046.18,2030.17,2217544232.0
2014-11-21,2038.29,2063.5,2071.46,2034.46,2558664600.0
2014-11-28,2065.07,2067.56,2075.76,2064.75,1992129156.0
2014-12-05,2065.78,2075.37,2079.47,2049.57,2570910308.0
2014-12-12,2074.84,2002.33,2075.78,2002.33,2881966616.0
2014-12-19,2005.03,2070.65,2077.85,1972.56,4320136220.0
2014-12-26,2069.28,2088.77,2092.7,2069.28,1535774855.0
2015-01-02,2087.63,2058.2,2093.55,2046.04,1481777387.0
2015-01-09,2054.44,2044.81,2064.43,1992.44,2886480514.0
2015-01-16,2046.13,2019.42,2056.93,1988.12,3159652883.0
2015-01-23,2020.76,2051.82,2064.62,2004.49,1974977389.0
2015-01-30,2050.42,1994.99,2057.62,1989.18,3246763697.0
2015-02-06,1996.67,2055.47,2072.4,1980.9,3057617818.0
2015-02-13,2053.47,2096.99,2097.03,2041.88,2606770082.0
2015-02-20,2096.47,2110.3,2110.61,2085.44,2099408241.0
2015-02-27,2109.83,2104.5,2119.59,2103.0,2578507236.0
2015-03-06,2105.23,2071.26,2117.52,2067.27,2628153492.0
2015-03-13,2072.25,2053.4,2083.49,2039.69,2742064873.0
2015-03-20,2055.35,2108.06,2113.92,2055.35,3734777877.0
2015-03-27,2107.99,2061.02,2114.86,2045.5,2752063565.0
2015-04-02,2064.11,2066.96,2088.97,2048.38,2206647057.0
2015-04-10,2064.87,2102.06,2102.61,2056.52,2469478044.0
2015-04-17,2102.03,2081.18,2111.91,2072.37,2657667283.0
2015-04-24,2084.11,2117.69,2120.92,2084.11,2594384860.0
2015-05-01,2119.29,2108.29,2125.92,2077.59,2886564531.0
2015-05-08,2110.23,2116.1,2120.95,2067.93,2590781725.0
2015-05-15,2115.56,2122.73,2123.89,2085.57,2496203850.0
2015-05-22,2121.3,2126.06,2134.72,2120.01,2306755533.0
2015-05-29,2125.34,2107.39,2126.22,2099.18,2263329317.0
2015-06-05,2108.64,2092.83,2121.92,2085.67,2504568917.0
2015-06-12,2092.34,2094.11,2115.02,2072.14,2463949890.0
2015-06-19,2091.34,2109.76,2126.65,2072.49,3184970708.0
2015-06-26,2112.5,2101.61,2129.87,2095.38,2866313523.0
2015-07-02,2098.63,2076.78,2098.63,2056.64,7896933672.0
2015-07-10,2073.95,2076.62,2083.74,2044.02,2623853127.0
2015-07-17,2080.03,2126.64,2128.91,2080.03,2701638433.0
2015-07-24,2126.85,2079.65,2132.82,2077.09,2858626338.0
2015-07-31,2078.19,2103.92,2114.24,2063.52,2981839353.0
2015-08-07,2104.49,2077.57,2112.66,2067.91,2814278828.0
2015-08-14,2080.98,2091.54,2105.35,2052.09,2682465979.0
2015-08-21,2089.7,1970.89,2103.47,1970.89,3180498111.0
2015-08-28,1965.15,1988.87,1993.48,1867.01,5061179356.0
2015-09-04,1986.73,1921.22,1986.73,1903.07,3665736046.0
2015-09-11,1927.3,1961.05,1988.63,1927.3,2607787935.0
2015-09-18,1963.06,1958.08,2020.86,1948.27,4238880934.0
2015-09-25,1960.84,1931.34,1979.64,1908.92,3174615641.0
2015-10-02,1929.18,1951.36,1951.36,1871.91,3799940074.0
2015-10-09,1954.33,2014.89,2020.13,1954.33,3369044412.0
2015-10-16,2015.65,2033.11,2033.54,1990.73,3043346205.0
2015-10-23,2031.73,2075.15,2079.74,2017.22,3305714673.0
2015-10-30,2075.08,2079.36,2094.32,2058.84,3250009444.0
2015-11-06,2080.76,2099.2,2116.48,2080.76,3032890871.0
2015-11-13,2096.56,2023.04,2096.56,2022.02,2968101530.0
2015-11-20,2022.08,2089.17,2097.06,2019.39,3119300014.0
2015-11-27,2089.41,2090.11,2095.61,2070.29,1858941549.0
2015-12-04,2090.95,2091.69,2104.27,2042.35,3513885259.0
2015-12-11,2090.42,2012.37,2090.42,2008.8,3342083830.0
2015-12-18,2013.37,2005.52,2076.72,1993.26,4598019877.0
2015-12-24,2010.27,2060.99,2067.36,2005.93,1952828638.0
2015-12-31,2057.77,2043.94,2081.56,2043.62,1563975292.0
2016-01-08,2038.2,1922.03,2038.2,1918.46,3817468527.0
2016-01-15,1926.12,1880.29,1950.33,1857.83,4524473100.0
2016-01-22,1888.66,1906.9,1908.85,1812.29,3617174575.0
2016-01-29,1906.28,1940.24,1940.24,1872.7,4296842027.0
2016-02-05,1936.94,1880.05,1947.2,1872.23,4127713419.0
2016-02-12,1873.25,1864.78,1881.6,1810.1,4388274839.0
2016-02-19,1871.44,1917.78,1930.68,1871.44,3252209149.0
2016-02-26,1924.44,1948.05,1962.96,1891.0,3212601397.0
2016-03-04,1947.13,1999.99,2009.13,1931.81,3723408649.0
2016-03-11,1996.11,2022.19,2022.37,1969.25,3269501508.0
2016-03-18,2019.27,2049.58,2052.36,2005.23,4098938199.0
2016-03-24,2047.88,2035.94,2056.6,2022.49,2233328051.0
2016-04-01,2037.89,2072.78,2075.07,2028.31,2835453256.0
2016-04-08,2073.19,2047.6,2074.02,2033.8,2933205192.0
2016-04-15,2050.23,2080.73,2087.84,2039.74,3064989600.0
2016-04-22,2078.83,2091.58,2111.05,2073.65,3099453473.0
2016-04-29,2089.37,2065.3,2099.89,2052.28,3392639875.0
2016-05-06,2067.17,2057.14,2083.42,2039.45,3051182157.0
2016-05-13,2057.55,2046.61,2084.87,2043.13,2814071474.0
2016-05-20,2046.53,2052.32,2071.88,2025.91,3099923551.0
2016-05-27,2052.23,2099.06,2099.06,2047.26,2626731787.0
2016-06-03,2100.13,2099.13,2105.26,2085.1,2657408206.0
2016-06-10,2100.83,2096.07,2120.55,2089.96,2600782274.0
2016-06-17,2091.75,2071.22,2098.12,2050.37,3570138211.0
2016-06-24,2075.58,2037.41,2113.32,2032.57,3583884366.0
2016-07-01,2031.45,2102.95,2108.71,2006.67,2969457795.0
2016-07-08,2095.05,2129.9,2131.71,2074.02,2444029532.0
2016-07-15,2131.72,2161.74,2169.05,2131.72,2801575850.0
2016-07-22,2162.04,2175.03,2175.63,2159.01,2580444103.0
2016-07-29,2173.71,2173.6,2177.09,2159.07,3062207869.0
2016-08-05,2173.15,2182.87,2182.87,2147.58,2767683228.0
2016-08-12,2183.76,2184.05,2188.45,2172.0,2251133825.0
2016-08-19,2186.08,2183.87,2193.81,2168.5,2516301953.0
2016-08-26,2181.58,2169.04,2193.42,2160.39,2355859151.0
2016-09-02,2170.19,2179.98,2184.87,2157.09,2562986577.0
2016-09-09,2181.61,2127.81,2187.87,2127.81,2344217956.0
2016-09-16,2120.86,2139.16,2163.3,2119.12,4020004047.0
2016-09-23,2143.99,2164.69,2179.99,2135.91,2624575690.0
2016-09-30,2158.54,2168.27,2175.3,2141.55,3035723947.0
2016-10-07,2164.33,2153.74,2165.86,2144.01,2814920674.0
2016-10-14,2160.39,2132.98,2169.6,2114.72,2598988751.0
2016-10-21,2132.95,2141.16,2148.44,2124.43,2725133131.0
2016-10-28,2148.5,2126.41,2154.79,2119.36,2872520913.0
2016-11-04,2129.78,2085.18,2133.25,2083.79,3245049744.0
2016-11-11,2100.59,2164.45,2182.3,2100.59,3890495526.0
2016-11-18,2165.64,2181.9,2189.89,2156.08,3291083195.0
2016-11-25,2186.43,2213.35,2213.35,2186.43,1950364896.0
2016-12-02,2210.21,2191.95,2214.1,2187.44,3525160841.0
2016-12-09,2200.65,2259.53,2259.8,2199.97,10698096295.0
2016-12-16,2258.83,2258.07,2277.53,2248.44,10717544019.0
2016-12-23,2259.24,2263.79,2272.56,2256.08,8034396085.0
2016-12-30,2266.23,2238.83,2273.82,2233.62,5279928821.0
2017-01-06,2251.57,2276.98,2282.1,2245.13,8560679119.0
2017-01-13,2273.59,2274.64,2279.27,2254.25,9889350011.0
2017-01-20,2269.14,2271.31,2276.96,2258.41,8334442902.0
2017-01-27,2267.78,2294.69,2300.99,2257.02,10431758264.0
2017-02-03,2286.01,2297.42,2298.31,2267.21,11672978065.0
2017-02-10,2294.28,2316.1,2319.23,2285.38,10280875365.0
2017-02-17,2321.72,2351.16,2351.31,2321.42,10577194413.0
2017-02-24,2354.91,2367.34,2368.26,2352.87,8453675998.0
2017-03-03,2365.23,2383.12,2400.98,2358.96,10948852086.0
2017-03-10,2375.23,2372.6,2378.8,2354.54,9924553965.0
2017-03-17,2371.56,2378.25,2390.01,2358.18,10908476043.0
2017-03-24,2378.24,2343.98,2381.93,2335.74,10437076203.0
2017-03-31,2329.11,2362.72,2370.42,2322.25,9463156439.0
2017-04-07,2362.34,2355.54,2378.36,2344.73,9775167547.0
2017-04-13,2357.16,2328.95,2366.37,2328.95,7100516174.0
2017-04-21,2332.62,2348.69,2361.37,2332.51,9638042448.0
2017-04-28,2370.33,2384.2,2398.16,2369.19,11222218762.0
2017-05-05,2388.5,2399.29,2399.29,2379.75,10595326564.0
2017-05-12,2399.94,2390.9,2403.87,2381.74,9497869919.0
2017-05-19,2393.98,2381.73,2405.77,2352.72,11211401381.0
2017-05-26,2387.21,2415.82,2418.71,2386.92,8962087811.0
2017-06-02,2411.67,2439.07,2440.23,2403.59,8560953557.0
2017-06-09,2437.83,2431.77,2446.2,2415.7,10674677510.0
2017-06-16,2425.88,2433.15,2443.75,2418.53,12403394900.0
2017-06-23,2442.55,2438.3,2453.82,2430.74,10987207235.0
2017-06-30,2443.32,2423.41,2450.42,2405.7,10321348600.0
2017-07-07,2431.39,2425.18,2439.17,2407.7,6887858936.0
2017-07-14,2424.51,2459.27,2463.54,2412.79,8870204708.0
2017-07-21,2459.5,2472.54,2477.62,2450.34,9196903759.0
2017-07-28,2472.04,2472.1,2484.04,2459.93,11300280520.0
2017-08-04,2475.94,2476.83,2480.38,2466.48,10300002775.0
2017-08-11,2477.14,2441.32,2490.87,2437.75,9025492622.0
2017-08-18,2454.96,2425.55,2474.93,2420.69,8853359495.0
2017-08-25,2425.5,2443.05,2454.77,2417.35,7987799513.0
2017-09-01,2447.35,2476.55,2480.38,2428.2,8181097039.0
2017-09-08,2470.35,2461.43,2471.97,2446.55,8265107270.0
2017-09-15,2474.52,2500.23,2500.23,2474.52,10723414303.0
2017-09-22,2502.51,2502.22,2508.85,2496.54,9393471582.0
2017-09-29,2499.39,2519.36,2519.44,2488.03,9483377496.0
2017-10-06,2521.2,2549.33,2552.51,2520.4,8664677147.0
2017-10-13,2551.39,2553.17,2557.65,2541.6,9001662450.0
2017-10-20,2555.57,2575.21,2575.44,2547.92,9360005479.0
2017-10-27,2578.08,2581.07,2582.98,2544.0,11596161531.0
2017-11-03,2577.75,2587.84,2588.42,2566.17,11256585320.0
2017-11-10,2587.47,2582.3,2597.02,2566.33,10577137881.0
2017-11-17,2576.53,2578.85,2590.09,2557.45,10471482478.0
2017-11-24,2579.49,2602.42,2604.21,2578.24,6031464290.0
2017-12-01,2602.66,2642.22,2657.74,2598.87,12088402243.0
2017-12-08,2657.19,2651.5,2665.19,2624.75,10817486013.0
2017-12-15,2652.19,2675.81,2679.63,2651.47,11577690383.0
2017-12-22,2685.92,2683.34,2694.97,2676.11,9466045627.0
2017-12-29,2679.09,2673.61,2692.12,2673.61,4773160339.0
2018-01-05,2683.73,2743.15,2743.45,2682.36,8348700144.0
2018-01-12,2742.67,2786.24,2787.85,2736.06,10184949119.0
2018-01-19,2798.96,2810.3,2810.33,2768.64,9766828877.0
2018-01-26,2809.16,2872.87,2872.87,2808.12,11311257893.0
2018-02-02,2867.23,2762.13,2870.62,2759.97,12592819297.0
2018-02-09,2741.06,2619.55,2763.39,2532.69,17387338994.0
2018-02-16,2636.75,2732.22,2754.42,2622.45,11703907723.0
2018-02-23,2722.99,2747.3,2747.76,2697.77,8326177245.0
2018-03-02,2757.37,2691.25,2789.15,2647.32,12312424436.0
2018-03-09,2681.06,2786.57,2786.57,2675.75,10870635573.0
