date,open,close,high,low,vol
2023-08-31,15696.98,15501.07,15748.43,14557.83,19763257934.0
2023-09-29,15600.95,14715.24,15618.85,14432.6,17719592615.0
2023-10-31,14717.9,14409.78,15333.98,14058.33,19426752509.0
2023-11-30,14453.68,15947.87,16166.51,14441.89,18808442927.0
2023-12-29,15892.59,16825.93,16969.17,15695.58,17894391708.0
2024-01-31,16667.3,17137.24,17665.26,16249.19,18825309100.0
2024-02-29,17216.99,18043.85,18091.62,17175.83,18191844640.0
2024-03-28,18069.29,18254.69,18464.7,17764.99,18670388283.0
2024-04-30,18280.82,17440.69,18391.58,16973.94,18912729358.0
2024-05-31,17382.78,18536.65,18907.54,17284.37,17783371628.0
2024-06-28,18666.72,19682.87,20017.71,18392.57,21424876965.0
2024-07-31,19720.11,19362.43,20690.97,18667.22,24463735595.0
2024-08-30,19375.97,19574.64,19938.89,17435.39,26180025520.0
2024-09-30,19438.1,20060.69,20273.3,18400.97,23064399993.0
2024-10-31,20046.06,19890.42,20600.1,19622.29,22871136837.0
2024-11-29,19955.83,20930.37,21182.02,19898.57,22775962097.0
2024-12-31,20971.76,21012.17,22133.22,20913.72,23646310213.0
2025-01-31,21120.05,21478.05,21945.48,20538.33,23897385163.0
2025-02-28,21084.64,20884.41,22222.61,20407.45,25071760950.0
2025-03-31,20989.58,19278.45,21073.8,18799.2,30161158204.0
2025-04-30,19192.77,19571.02,19707.34,16542.2,33752057794.0
2025-05-30,19866.83,21340.99,21611.54,19605.07,26353039124.0
2025-06-30,21270.57,22679.01,22721.5,21199.37,25530726509.0
2025-07-31,22594.48,23218.12,23589.37,22388.09,25842107302.0
2025-08-29,22941.06,23415.42,23969.27,22673.88,25952332089.0
2025-09-30,23020.47,24679.99,24781.73,22977.89,28031115617.0
2025-10-31,24539.25,25858.13,26182.1,24207.15,28069215036.0
2025-11-28,26114.11,25434.89,26132.87,23854.03,24999529746.0
2025-12-31,25232.75,25249.85,25835.03,24647.61,25529170549.0
2026-01-30,25524.27,25552.39,26165.08,24954.18,26003031275.0
2026-02-27,25491.64,24960.04,25840.04,24387.47,27503215221.0
2026-03-31,24599.41,23740.19,25189.17,22841.42,27931636799.0
2026-04-30,23883.29,27452.12,27488.03,23512.59,25762229369.0
2026-05-29,27508.57,30333.18,30470.03,27501.43,26445214926.0
2026-06-30,30295.25,30276.35,30762.2,28196.9,32557980721.0
2026-07-31,29914.28,28274.2,30084.78,27176.03,30241920366.0
2026-08-31,28278.59,29456.97,30195.72,28196.88,26554447186.0
2026-09-04,29056.58,29486.21,29655.22,28953.26,3811304821.0
