Date,Total Equity,Domestic Equity,World Equity,Hybrid,Total Bond,Taxable Bond,Municipal Bond,Total
2009-12-31,-3681.0,-8652.0,4972.0,2217.0,26418.0,21732.0,4686.0,24954.0
2010-01-31,13961.0,4227.0,9734.0,4049.0,26944.0,22389.0,4555.0,44955.0
2010-02-28,-169.0,-5171.0,5003.0,2185.0,27383.0,22328.0,5056.0,29399.0
2010-03-31,9888.0,1888.0,8000.0,4762.0,37783.0,33760.0,4023.0,52432.0
2010-04-30,10428.0,1971.0,8457.0,4087.0,27672.0,26752.0,920.0,42187.0
2010-05-31,-23398.0,-17872.0,-5526.0,-2544.0,13856.0,11221.0,2635.0,-12086.0
2010-06-30,-2742.0,-5207.0,2465.0,340.0,18775.0,16866.0,1909.0,16373.0
2010-07-31,-11879.0,-11521.0,-359.0,177.0,29082.0,25272.0,3810.0,17380.0
2010-08-31,-15027.0,-14145.0,-883.0,-464.0,30401.0,25208.0,5193.0,14910.0
2010-09-30,-8767.0,-12111.0,3344.0,3082.0,24833.0,22543.0,2291.0,19148.0
2010-10-31,685.0,-5831.0,6516.0,4633.0,22828.0,20844.0,1984.0,28146.0
2010-11-30,649.0,-6396.0,7045.0,5112.0,-1875.0,5798.0,-7673.0,3885.0
2010-12-31,1295.0,-12523.0,13818.0,3889.0,-21314.0,-8008.0,-13307.0,-16131.0
2011-01-31,18738.0,10799.0,7939.0,8992.0,-2035.0,10362.0,-12397.0,25695.0
2011-02-28,11425.0,7386.0,4040.0,9091.0,7977.0,12277.0,-4299.0,28494.0
2011-03-31,2132.0,-5825.0,7957.0,4721.0,12978.0,15614.0,-2636.0,19831.0
2011-04-30,6348.0,1436.0,4912.0,5234.0,13969.0,17691.0,-3722.0,25551.0
2011-05-31,-4208.0,-6317.0,2109.0,4061.0,19655.0,19666.0,-11.0,19508.0
2011-06-30,-22248.0,-19858.0,-2390.0,2066.0,13196.0,12303.0,893.0,-6986.0
2011-07-31,-31769.0,-29330.0,-2440.0,885.0,9012.0,8980.0,31.0,-21873.0
2011-08-31,-28113.0,-25068.0,-3045.0,-3536.0,-4132.0,-3129.0,-1004.0,-35781.0
2011-09-30,-12555.0,-13751.0,1196.0,1130.0,9782.0,8142.0,1640.0,-1642.0
2011-10-31,-20687.0,-18185.0,-2502.0,4486.0,11992.0,10027.0,1965.0,-4209.0
2011-11-30,-18948.0,-14316.0,-4632.0,-4873.0,18602.0,15555.0,3047.0,-5218.0
2011-12-31,-29345.0,-20387.0,-8958.0,2503.0,9664.0,5057.0,4607.0,-17178.0
2012-01-31,-594.0,-2716.0,2121.0,8395.0,26527.0,19920.0,6607.0,34328.0
2012-02-29,1503.0,-1483.0,2986.0,8235.0,34715.0,28402.0,6313.0,44454.0
2012-03-31,-10157.0,-12180.0,2023.0,6333.0,30854.0,27342.0,3512.0,27029.0
2012-04-30,-6564.0,-15211.0,8647.0,3250.0,24735.0,22124.0,2612.0,21421.0
2012-05-31,-8693.0,-11717.0,3024.0,550.0,19012.0,14127.0,4885.0,10869.0
2012-06-30,-6433.0,-9315.0,2883.0,486.0,16507.0,12518.0,3989.0,10560.0
2012-07-31,-9013.0,-9066.0,53.0,4564.0,25026.0,19575.0,5451.0,20578.0
2012-08-31,-18095.0,-14374.0,-3721.0,5770.0,31898.0,26430.0,5468.0,19574.0
2012-09-30,-24439.0,-19760.0,-4678.0,5965.0,29175.0,25162.0,4013.0,10701.0
2012-10-31,-16418.0,-14439.0,-1979.0,3858.0,34517.0,29653.0,4864.0,21957.0
2012-11-30,-23169.0,-19322.0,-3847.0,-1593.0,23734.0,18556.0,5177.0,-1029.0
2012-12-31,-30666.0,-26315.0,-4352.0,299.0,7250.0,10396.0,-3146.0,-23118.0
2013-01-31,37534.0,18526.0,19009.0,10158.0,32687.0,25506.0,7181.0,80379.0
2013-02-28,14368.0,-1364.0,15732.0,9028.0,20276.0,17827.0,2449.0,43673.0
2013-03-31,14777.0,2296.0,12481.0,7005.0,16144.0,16438.0,-294.0,37926.0
2013-04-30,5645.0,-1119.0,6764.0,12536.0,12063.0,13862.0,-1798.0,30245.0
2013-05-31,6202.0,-3529.0,9731.0,5708.0,12849.0,13787.0,-937.0,24760.0
2013-06-30,6168.0,-4243.0,10410.0,601.0,-59319.0,-42747.0,-16573.0,-52550.0
2013-07-31,19350.0,8996.0,10354.0,8375.0,-16371.0,-6138.0,-10233.0,11354.0
2013-08-31,7439.0,-1027.0,8467.0,5073.0,-28883.0,-16813.0,-12071.0,-16371.0
2013-09-30,4881.0,-3384.0,8264.0,4141.0,-10969.0,-4536.0,-6433.0,-1948.0
2013-10-31,20683.0,8013.0,12670.0,5236.0,-15618.0,-10233.0,-5385.0,10301.0
2013-11-30,22318.0,6400.0,15918.0,1868.0,-14147.0,-9689.0,-4459.0,10038.0
2013-12-31,-215.0,-12190.0,11975.0,224.0,-19630.0,-9570.0,-10060.0,-19621.0
2014-01-31,23761.0,6952.0,16810.0,2963.0,2490.0,2057.0,433.0,29214.0
2014-02-28,19062.0,9386.0,9676.0,5627.0,8714.0,7034.0,1681.0,33403.0
2014-03-31,10452.0,1997.0,8455.0,3803.0,13799.0,12246.0,1553.0,28054.0
2014-04-30,6267.0,-455.0,6722.0,4900.0,8727.0,7537.0,1190.0,19894.0
2014-05-31,-229.0,-7167.0,6938.0,3744.0,12036.0,8490.0,3545.0,15550.0
2014-06-30,-2072.0,-10476.0,8404.0,4347.0,11684.0,9335.0,2349.0,13959.0
2014-07-31,-6542.0,-13811.0,7269.0,3452.0,10748.0,9340.0,1409.0,7658.0
2014-08-31,1161.0,-6497.0,7658.0,2075.0,5237.0,1981.0,3256.0,8473.0
2014-09-30,-5211.0,-13411.0,8200.0,1944.0,-19372.0,-22389.0,3017.0,-22640.0
2014-10-31,5243.0,262.0,4981.0,-1947.0,-6251.0,-8405.0,2154.0,-2955.0
2014-11-30,-2507.0,-6092.0,3585.0,992.0,14945.0,11979.0,2966.0,13429.0
2014-12-31,-23948.0,-20662.0,-3286.0,-3975.0,-19142.0,-23577.0,4435.0,-47066.0
