date,open,close,high,low,vol
2023-04-28,4102.2,4169.48,4170.06,4049.35,43509341352.0
2023-05-31,4166.79,4179.83,4231.1,4048.28,54594788096.0
2023-06-30,4183.03,4450.38,4458.48,4171.64,52609485523.0
2023-07-31,4422.44,4588.96,4607.07,4385.05,46529113006.0
2023-08-31,4578.83,4507.66,4584.62,4335.31,47766583114.0
2023-09-29,4530.6,4288.05,4541.25,4238.63,45176621792.0
2023-10-31,4284.52,4193.8,4393.57,4103.78,53699685567.0
2023-11-30,4201.27,4567.8,4587.64,4197.74,48696966540.0
2023-12-29,4559.43,4769.83,4793.3,4546.5,48792148009.0
2024-01-31,4745.2,4845.65,4931.09,4682.11,52173069546.0
2024-02-29,4861.11,5096.27,5111.06,4853.52,49185456276.0
2024-03-28,5098.51,5254.35,5264.85,5056.82,50529691573.0
2024-04-30,5257.97,5035.69,5263.95,4953.56,51618961789.0
2024-05-31,5029.03,5277.51,5341.88,5011.05,49274641399.0
2024-06-28,5297.15,5460.48,5523.64,5234.32,50250479864.0
2024-07-31,5471.08,5522.3,5669.67,5390.95,57511801709.0
2024-08-30,5537.84,5648.4,5651.62,5119.26,56151673114.0
2024-09-30,5623.89,5762.48,5767.37,5402.62,53950492878.0
2024-10-31,5757.73,5705.45,5878.46,5674.0,54298526603.0
2024-11-29,5723.22,6032.38,6044.17,5696.51,54833700852.0
2024-12-31,6040.11,5881.63,6099.97,5832.3,55907690169.0
2025-01-31,5903.26,6040.53,6128.18,5773.31,56529574329.0
2025-02-28,5969.65,5954.5,6147.43,5837.66,59666359645.0
2025-03-31,5968.33,5611.85,5986.09,5488.73,72837531780.0
2025-04-30,5597.53,5569.06,5695.31,4835.04,80604375723.0
2025-05-30,5625.14,5911.69,5968.61,5578.64,64040967161.0
2025-06-30,5896.68,6204.95,6215.08,5861.43,62687056571.0
2025-07-31,6187.25,6339.39,6427.02,6177.97,66112180833.0
2025-08-29,6287.28,6460.26,6508.23,6212.69,61533243126.0
2025-09-30,6401.51,6688.46,6699.52,6360.58,67077232718.0
2025-10-31,6664.92,6840.2,6920.34,6550.78,73771250732.0
2025-11-28,6882.32,6849.09,6882.32,6521.92,62784470638.0
2025-12-31,6812.3,6845.5,6945.77,6720.43,63377802199.0
2026-01-30,6878.11,6939.03,7002.28,6789.05,67733454799.0
2026-02-27,6916.64,6878.88,6993.48,6775.5,70329528538.0
2026-03-31,6824.36,6528.52,6901.01,6316.91,75553201123.0
2026-04-30,6556.56,7209.01,7219.83,6474.94,64033963161.0
2026-05-29,7234.54,7580.06,7599.38,7174.12,66020716203.0
2026-06-30,7582.29,7499.36,7620.9,7237.85,77410052909.0
2026-07-31,7478.84,7489.72,7581.5,7313.92,68689516177.0
2026-08-31,7504.78,7686.14,7816.7,7504.78,58284718130.0
