,open,close,high,low,vol
2017-04-21,22.279,22.717,22.951,22.176,51200.0
2017-04-28,23.333,23.492,23.94,22.895,89075.0
2017-05-05,23.781,24.043,24.043,23.66,93191.0
2017-05-12,24.173,24.929,24.995,23.903,141812.0
2017-05-19,25.088,25.135,25.396,24.341,216455.0
2017-05-26,25.321,26.367,27.141,25.293,446861.0
2017-06-02,26.441,27.216,27.263,25.984,381773.0
2017-06-09,27.403,26.899,27.944,26.488,410295.0
2017-06-16,26.665,26.619,27.057,25.853,255581.0
2017-06-23,26.908,28.28,28.299,26.908,464338.0
2017-06-30,28.532,27.02,28.933,26.917,484318.0
2017-07-07,27.216,26.675,27.225,26.451,236655.0
2017-07-14,26.796,27.44,27.533,26.451,190351.0
2017-07-21,27.3,27.907,28.019,27.095,340202.0
2017-07-28,28.187,27.991,28.476,27.477,314900.0
2017-08-04,28.149,28.364,28.401,27.328,123686.0
2017-08-11,28.747,28.7,29.148,28.0,311546.0
2017-08-18,29.176,28.7,29.941,28.644,507901.0
2017-08-25,28.877,29.549,29.951,28.439,314622.0
2017-09-01,30.016,31.397,32.079,29.867,826666.0
2017-09-08,31.276,31.052,31.743,30.753,341961.0
2017-09-15,31.164,31.687,31.78,31.08,538053.0
2017-09-22,31.864,31.64,32.256,31.593,610972.0
2017-09-29,31.696,32.004,32.051,31.024,469888.0
2017-10-06,32.144,32.685,32.844,31.948,537892.0
2017-10-13,32.937,32.471,32.937,32.237,526796.0
2017-10-20,32.555,32.517,32.667,31.855,433800.0
2017-10-27,32.685,32.527,32.741,31.332,689800.0
2017-11-03,32.592,32.947,33.432,32.303,948319.0
2017-11-10,33.012,32.387,33.021,31.92,687357.0
2017-11-17,32.349,33.115,33.264,31.715,754514.0
2017-11-24,33.329,34.477,34.561,33.227,913616.0
2017-12-01,34.664,34.907,35.653,34.067,1606901.0
2017-12-08,35.504,34.291,35.551,33.656,1447862.0
2017-12-15,34.561,35.887,35.961,34.421,1786668.0
2017-12-22,36.54,35.233,37.296,34.197,2699254.0
2017-12-29,35.373,35.055,35.896,35.045,849651.0
2018-01-05,35.301,37.343,37.343,35.216,1808108.0
2018-01-12,36.879,37.541,37.806,36.227,1526537.0
2018-01-19,37.815,37.759,37.919,36.454,1264385.0
2018-01-26,38.099,39.753,39.772,38.052,2855282.0
2018-02-02,39.753,37.626,40.226,37.513,2142685.0
2018-02-09,36.955,36.274,38.383,34.374,3187175.0
2018-02-16,37.021,38.818,39.186,35.934,1993774.0
2018-02-23,38.524,39.243,39.753,38.288,1567717.0
2018-03-02,39.545,39.432,40.217,37.73,1748430.0
2018-03-09,39.337,42.438,42.495,39.186,2643705.0
2018-03-16,42.722,41.049,42.873,41.03,2097642.0
2018-03-23,40.652,38.43,40.916,38.354,1677150.0
2018-03-29,39.148,36.936,39.612,35.858,1935920.0
2018-04-06,36.615,36.341,37.796,35.168,1746804.0
2018-04-13,36.785,38.042,38.732,36.567,1219529.0
2018-04-20,38.326,38.638,39.574,37.834,1190359.0
2018-04-27,38.855,37.229,38.874,36.341,1128574.0
2018-05-04,37.163,37.73,37.919,36.464,816054.0
2018-05-11,37.995,40.538,40.67,37.995,1243210.0
2018-05-18,40.642,40.292,41.219,40.009,1235335.0
2018-05-25,40.652,40.831,41.124,40.16,1407639.0
2018-06-01,40.652,41.38,41.654,40.264,1139638.0
2018-06-08,41.616,43.204,43.658,41.332,1933898.0
2018-06-15,43.336,44.698,44.745,43.034,2077895.0
2018-06-22,44.348,44.064,45.917,43.771,2907381.0
2018-06-29,43.696,42.523,43.847,41.644,2329647.0
2018-07-06,42.334,44.149,44.235,42.136,956607.0
2018-07-13,44.669,45.133,45.331,43.535,1799893.0
2018-07-20,45.142,44.688,45.142,43.8,1319709.0
2018-07-27,44.575,42.278,45.019,41.937,1821519.0
2018-08-03,42.287,42.987,43.611,41.134,1747365.0
2018-08-10,43.081,44.367,44.764,42.93,1879028.0
2018-08-17,44.471,43.327,44.528,42.902,1332148.0
2018-08-24,43.251,45.435,45.501,42.968,1336774.0
2018-08-31,45.747,46.986,47.146,45.501,1595899.0
2018-09-07,46.73,44.178,46.797,43.658,1645686.0
2018-09-14,44.433,45.605,45.946,43.866,1188360.0
2018-09-21,45.464,44.584,46.04,44.556,1369690.0
2018-09-28,44.197,44.755,45.69,44.027,1086485.0
2018-10-05,45.709,41.578,45.832,40.812,2170976.0
2018-10-12,41.37,39.725,41.673,38.127,3369210.0
2018-10-19,39.498,39.063,41.597,38.808,1369242.0
2018-10-26,39.347,38.666,39.81,37.239,1739686.0
2018-11-02,39.678,42.996,43.412,37.579,2068676.0
2018-11-09,43.034,41.956,43.696,41.512,1725896.0
2018-11-16,41.72,41.285,41.767,39.98,1129581.0
2018-11-23,41.096,39.432,41.124,37.711,1065484.0
2018-11-30,40.037,42.022,42.051,39.971,998092.0
2018-12-07,43.488,39.801,43.488,39.631,1240024.0
2018-12-14,39.659,39.489,41.644,39.196,1509281.0
2018-12-21,39.186,33.892,39.375,33.722,2781992.0
2018-12-28,33.495,35.879,36.494,32.994,2849952.0
2019-01-04,36.104,37.499,37.626,35.04,1450993.0
2019-01-11,37.733,40.768,40.875,37.46,2431962.0
2019-01-18,40.202,41.763,42.095,39.909,1985715.0
2019-01-25,41.1,41.539,41.607,39.353,1235278.0
2019-02-01,40.748,42.066,42.456,40.134,1490049.0
2019-02-08,42.007,41.948,43.276,41.109,1542107.0
2019-02-15,42.114,44.095,44.095,42.095,1473781.0
2019-02-22,43.92,44.661,44.759,43.412,1575932.0
2019-03-01,45.334,45.666,45.754,44.681,1392540.0
2019-03-08,46.047,43.773,46.095,42.329,1867101.0
2019-03-15,44.046,45.852,46.115,43.91,2037742.0
2019-03-22,45.861,44.934,46.983,44.925,1832371.0
2019-03-29,44.71,45.598,45.695,43.832,2043100.0
2019-04-05,46.174,47.725,47.891,45.939,1681346.0
2019-04-12,47.598,47.286,47.793,47.042,1550584.0
2019-04-18,47.325,45.949,47.53,45.286,1561201.0
2019-04-26,45.832,46.535,47.413,45.705,1572986.0
2019-05-03,46.564,47.218,47.218,45.022,1835415.0
2019-05-10,45.92,45.12,47.676,43.822,1866436.0
2019-05-17,43.744,42.895,44.407,42.573,2022514.0
2019-05-24,42.134,41.119,42.885,40.66,2114879.0
2019-05-31,41.265,39.743,41.548,39.694,1319541.0
2019-06-07,39.743,42.163,42.261,38.914,2317289.0
2019-06-14,42.485,42.027,43.246,41.763,1204922.0
2019-06-21,42.124,44.339,44.905,42.105,1358648.0
2019-06-28,44.456,46.818,46.886,43.227,1448942.0
2019-07-05,47.579,46.642,47.657,45.969,936742.0
2019-07-12,46.427,47.286,47.764,45.939,1056474.0
2019-07-19,47.423,47.12,47.852,46.886,696657.0
2019-07-26,47.335,48.154,48.711,47.052,1041179.0
2019-08-02,48.057,45.003,48.408,44.603,1388617.0
2019-08-09,43.88,44.173,44.837,42.514,2347632.0
2019-08-16,43.861,43.607,44.349,42.085,1542487.0
2019-08-23,44.349,42.456,44.768,42.309,1079007.0
2019-08-30,42.993,43.246,43.754,41.617,1403959.0
2019-09-06,42.885,42.875,43.383,42.036,819669.0
2019-09-13,43.032,44.154,44.778,42.28,1349340.0
2019-09-20,43.724,43.656,44.456,43.178,955600.0
2019-09-27,43.549,41.607,43.812,41.256,1241986.0
2019-10-04,41.695,40.953,42.3,39.148,1834455.0
2019-10-11,40.787,40.914,41.49,39.626,1080225.0
2019-10-18,40.846,40.914,42.241,40.504,844051.0
2019-10-25,41.207,42.466,42.524,40.651,897028.0
2019-11-01,42.68,44.134,44.144,42.68,1330380.0
2019-11-08,44.524,44.739,44.807,43.968,977572.0
2019-11-15,44.446,46.252,46.33,44.398,838428.0
2019-11-22,46.261,47.247,47.608,45.871,1068187.0
2019-11-29,47.706,49.208,49.247,47.569,580901.0
2019-12-06,49.101,48.262,49.208,46.964,877114.0
2019-12-13,48.291,47.91,48.535,47.647,840794.0
2019-12-20,48.554,49.725,50.057,48.35,1205542.0
2019-12-27,50.018,50.085,50.84,49.677,747752.0
2020-01-03,50.007,49.096,50.105,48.332,1012530.0
2020-01-10,48.499,50.898,51.76,48.411,1424438.0
2020-01-17,51.447,52.563,53.053,51.222,1634953.0
2020-01-24,52.691,51.711,53.278,51.329,1342869.0
2020-01-31,50.144,50.732,52.23,49.948,1606457.0
2020-02-07,51.231,54.689,55.864,51.075,2366707.0
2020-02-14,55.129,57.48,58.018,55.061,2427856.0
2020-02-21,57.774,57.401,59.478,57.01,2315277.0
2020-02-28,54.297,51.75,55.697,48.577,4696064.0
2020-03-06,52.446,51.035,54.404,50.036,3524588.0
2020-03-13,47.01,42.015,49.018,38.294,4775570.0
2020-03-20,36.776,37.069,39.733,32.319,5133936.0
2020-03-27,36.776,42.858,45.58,35.875,5498343.0
2020-04-03,43.279,39.371,44.444,38.597,3373309.0
2020-04-09,41.506,46.315,46.961,41.153,3966427.0
2020-04-17,46.197,51.182,51.27,45.159,3949860.0
2020-04-24,50.575,51.966,52.759,48.724,3221111.0
2020-05-01,52.955,51.3,55.825,50.604,5463063.0
2020-05-08,50.644,57.098,57.245,50.467,2972383.0
2020-05-15,56.363,56.892,59.252,53.19,4163970.0
2020-05-22,58.831,61.466,61.505,58.391,4318424.0
2020-05-29,63.562,61.525,63.562,58.42,3958035.0
2020-06-05,62.053,62.925,65.344,61.632,6547566.0
2020-06-12,63.65,61.133,65.658,59.36,6998772.0
2020-06-19,59.487,66.627,67.822,59.487,6417490.0
2020-06-26,67.244,67.548,71.935,66.999,7664860.0
2020-07-02,67.92,73.395,74.354,66.333,6623871.0
2020-07-10,75.677,79.222,80.24,74.922,10063891.0
2020-07-17,81.288,79.006,82.797,73.463,11110475.0
2020-07-24,79.565,77.204,83.198,75.804,8475941.0
2020-07-31,78.154,78.713,80.436,77.175,6647229.0
2020-08-07,79.633,80.789,84.334,79.526,10580282.0
2020-08-14,82.914,82.973,84.609,79.712,7416436.0
2020-08-21,83.629,87.978,88.555,83.561,8949923.0
2020-08-28,90.005,90.455,91.063,85.598,8982508.0
2020-09-04,90.945,85.255,96.861,79.653,21620028.0
2020-09-11,81.083,83.59,87.556,80.417,13651897.0
2020-09-18,84.873,88.027,91.386,84.804,10505212.0
2020-09-25,86.567,88.879,89.897,83.512,10505439.0
2020-10-02,91.004,90.416,92.59,89.084,11446724.0
2020-10-09,91.631,100.641,100.905,91.631,12640566.0
2020-10-16,102.609,100.641,103.961,99.035,14489915.0
2020-10-23,101.963,97.135,102.394,94.863,11868692.0
2020-10-30,96.136,88.918,97.781,88.095,12566940.0
2020-11-06,90.073,99.975,100.514,87.547,18564229.0
2020-11-13,102.835,97.35,103.324,89.907,17551192.0
2020-11-20,97.595,102.737,103.324,96.175,11250487.0
2020-11-27,104.079,109.475,109.524,103.422,10864979.0
2020-12-04,111.316,114.773,114.94,106.556,15125089.0
2020-12-11,116.556,121.316,123.245,115.292,27002010.0
2020-12-18,123.49,124.675,125.556,119.993,20358415.0
2020-12-24,124.352,130.287,134.253,123.647,25665842.0
2020-12-31,132.755,123.471,133.049,119.821,30969412.0
2021-01-08,125.187,141.314,144.448,121.438,41499564.0
2021-01-15,139.102,140.749,146.799,135.68,36625762.0
2021-01-22,144.17,144.885,148.574,142.712,28182880.0
2021-01-29,147.344,136.315,148.624,133.945,39742051.0
2021-02-05,138.834,148.237,148.525,137.277,33145306.0
2021-02-12,150.806,155.299,156.618,149.229,46592690.0
2021-02-19,157.748,151.361,158.393,144.894,43642545.0
2021-02-26,148.495,129.293,149.695,125.038,103244275.0
2021-03-05,133.439,116.112,137.238,105.38,103627193.0
2021-03-12,116.043,125.643,128.063,108.346,102445686.0
2021-03-19,126.01,121.359,129.73,117.233,65922017.0
2021-03-26,122.985,113.037,125.346,108.653,73654731.0
2021-04-01,112.67,119.861,123.605,107.92,58792230.0
2021-04-09,123.342,122.251,124.002,119.623,36526828.0
2021-04-16,121.686,123.362,129.214,119.246,42100257.0
2021-04-23,121.567,122.688,123.402,115.586,40303534.0
2021-04-30,123.61,119.782,127.091,118.869,32814738.0
2021-05-07,120.218,108.822,120.416,104.815,63806675.0
2021-05-14,107.493,103.456,107.503,96.424,115993829.0
2021-05-21,101.909,104.974,107.255,99.211,75539371.0
2021-05-28,105.956,111.183,114.198,105.033,43200845.0
2021-06-04,111.926,108.614,112.809,106.511,31423878.0
2021-06-11,108.376,115.17,115.209,108.039,35397636.0
