date,ndx,inx,vol,vix,fed,t10y2y,cape,margin,arkk,margin_lag,F1_cape,mom12,F3_vix,arkk_ndx_mom,ici_anom,F7_fed,rel_mom12,s1,s2,s3,s4,s5,s6,s7,s8,f5_raw,total
2018-12-31,6329.96,2506.85,46586377806.0,24.953157894736844,2.27,0.21,28.29,554285.0,36.289,592593.0,28.29,-0.010390187010859253,24.953157894736844,0.0455920127133268,-79970.5,2.27,0.051982410338791696,85.99033816425121,9.166666666666666,13.333333333333329,86.66666666666667,0.0,0.0,0.0,31.666666666666664,33.33333333333333,39.98140096618358
2019-01-31,6906.84,2704.1,51676850936.0,19.57238095238095,2.4,0.18,28.38,568433.0,42.007,554285.0,28.38,-0.00620864202682303,19.57238095238095,0.08364272430855069,18954.5,2.4,0.036184436827632505,86.0576923076923,9.166666666666666,30.0,81.66666666666667,0.0,91.58878504672897,0.0,22.5,41.17647058823529,53.12485621854781
2019-02-28,7097.53,2784.49,41413762264.0,15.234736842105262,2.4,0.21,29.54,581205.0,45.432,568433.0,29.54,0.035467625269534064,15.234736842105262,0.13921434804725163,-3097.5,2.4,0.009430622214810613,89.47368421052632,17.5,62.5,81.66666666666667,8.57142857142857,58.333333333333336,0.8333333333333286,13.333333333333334,54.285714285714285,52.55187969924812
2019-03-29,7378.77,2834.4,46072721023.0,15.234736842105262,2.4,0.21,29.58,574013.0,45.598,581205.0,29.58,0.1212010703329065,15.234736842105262,0.11331268318669485,-3097.5,2.4,0.04791840212129439,89.52380952380953,35.833333333333336,62.5,83.33333333333334,0.0,57.798165137614674,1.6666666666666714,28.333333333333332,44.44444444444444,56.374486675404114
2019-04-30,7781.46,2945.83,41004945468.0,12.949047619047619,2.42,0.24,30.13,588721.0,46.076,574013.0,30.13,0.1780149177133843,12.949047619047619,0.06879877461512351,-32507.0,2.42,0.06556235828285994,91.4691943127962,47.5,84.16666666666667,81.66666666666667,0.0,3.6363636363636362,0.0,47.5,35.13513513513514,54.78096007468046
2019-05-31,7127.96,2752.06,44268660078.0,16.721818181818183,2.39,0.19,29.24,568751.0,39.743,588721.0,29.24,0.02299601161353859,16.721818181818183,-0.05613066676497991,2457.5,2.39,0.005700140961071298,87.73584905660378,8.333333333333332,48.33333333333333,85.0,0.0,71.17117117117117,3.3333333333333286,12.5,18.421052631578945,51.23117882032977
2019-06-28,7671.08,2941.76,40240961599.0,16.721818181818183,2.39,0.19,29.28,596304.0,46.818,568751.0,29.28,0.0895182365640268,16.721818181818183,0.011485925889233695,2457.5,2.39,0.007340313764702122,87.79342723004694,25.833333333333336,48.33333333333333,80.0,0.0,70.53571428571429,4.166666666666657,13.333333333333334,25.64102564102564,52.472375922199866
2019-07-31,7848.78,2980.38,38589600279.0,13.305909090909092,2.4,0.13,29.99,602139.0,47.286,596304.0,29.99,0.08528784648187626,13.305909090909092,0.037441692659088366,-28676.5,2.4,0.027023250151242628,90.18691588785047,24.166666666666668,82.5,87.5,0.0,4.424778761061947,3.3333333333333286,18.333333333333332,27.500000000000004,48.35109999172939
2019-08-30,7691.0,2926.46,44182150431.0,13.305909090909092,2.4,0.13,28.71,564894.0,43.246,602139.0,28.71,0.004761873656844662,13.305909090909092,-0.08436005183757922,-28676.5,2.4,-0.0038336211183076507,84.65116279069768,5.0,82.5,88.33333333333333,0.0,4.385964912280701,4.166666666666657,11.666666666666666,2.4390243902439024,44.08812729498164
2019-09-30,7749.45,2976.74,38026269448.0,15.559000000000001,2.04,0.05,29.23,555910.0,41.851,564894.0,29.23,0.015968220880612005,15.559000000000001,-0.0808548257292323,-27992.0,2.04,-0.005569332568622354,86.57407407407408,5.833333333333333,54.16666666666667,75.83333333333333,0.0,7.82608695652174,9.166666666666671,10.833333333333334,7.142857142857142,39.88039452495974
2019-10-31,8083.83,3037.56,41102823294.0,15.466521739130435,1.83,0.17,28.84,554604.0,43.158,555910.0,28.84,0.1602862022936371,15.466521739130435,-0.08814430335191692,-28258.0,1.83,0.04013456533729176,84.33179723502305,39.166666666666664,55.0,75.0,0.0,6.896551724137931,12.5,30.0,2.3255813953488373,46.1008422056253
2019-11-29,8403.68,3140.98,36870813098.0,15.466521739130435,1.83,0.17,29.84,563482.0,49.208,554604.0,29.84,0.2093348548929992,15.466521739130435,-0.038329191193032575,-28258.0,1.83,0.07136871512624565,89.44954128440367,59.166666666666664,55.0,74.16666666666667,0.0,6.837606837606838,13.333333333333329,54.166666666666664,27.27272727272727,52.99054928252176
